locus_tag	ftype	length_bp	gene	EC_number	COG	product
OOFMHOMA_00001	CDS	711	nlpE		COG3015	Lipoprotein NlpE
OOFMHOMA_00002	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
OOFMHOMA_00003	CDS	546	yaeQ		COG4681	putative protein YaeQ
OOFMHOMA_00004	CDS	201				hypothetical protein
OOFMHOMA_00005	CDS	261	rof		COG4568	Protein rof
OOFMHOMA_00006	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
OOFMHOMA_00007	CDS	390				hypothetical protein
OOFMHOMA_00008	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
OOFMHOMA_00009	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
OOFMHOMA_00010	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
OOFMHOMA_00011	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
OOFMHOMA_00012	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
OOFMHOMA_00013	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
OOFMHOMA_00014	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
OOFMHOMA_00015	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
OOFMHOMA_00016	CDS	486	skp		COG2825	Chaperone protein Skp
OOFMHOMA_00017	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
OOFMHOMA_00018	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
OOFMHOMA_00019	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
OOFMHOMA_00020	CDS	153				hypothetical protein
OOFMHOMA_00021	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
OOFMHOMA_00022	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
OOFMHOMA_00023	CDS	558	frr		COG0233	Ribosome-recycling factor
OOFMHOMA_00024	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
OOFMHOMA_00025	CDS	852	tsf		COG0264	Elongation factor Ts
OOFMHOMA_00026	CDS	726	rpsB		COG0052	30S ribosomal protein S2
OOFMHOMA_00027	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
OOFMHOMA_00028	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
OOFMHOMA_00029	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
OOFMHOMA_00030	CDS	387				hypothetical protein
OOFMHOMA_00031	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
OOFMHOMA_00032	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
OOFMHOMA_00033	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
